,result,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,base_code,conversion_rates
GEL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.07141
GGP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.01946
GHS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.3689
GIP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.01946
GMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,1.8855
GNF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,225.6419
GTQ,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.2001
GYD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,5.4527
HKD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.2015
HNL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.6741
HRK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.1724
HTG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,3.3963
HUF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,9.2352
